Item,Required Qty,Component Description,Sourcing / Part Notes
1,1,Seeed Studio XIAO RP2040,Main microcontroller board (unsoldered)
2,1,"0.91"" SSD1306 OLED Display","28x32 Pixel Screen, I2C Interface (Pinout: GND-VCC-SCL-SDA)"
3,1,EC11 Rotary Encoder,Incremental rotary encoder with push button
4,9,MX-Style Mechanical Switches,Keyswitches of choice
5,9,Blank DSA Keycaps,White keycaps
6,9,SK6812 MINI-E RGB LEDs,Reverse-mount addressable LEDs
7,4,M3x6mm Screws,Enclosure fasteners
8,4,M3x5x4mm Heatset Inserts,Brass threaded inserts
9,9,1N4148 Diodes,Through-hole matrix diodes
10,1,Custom PCB,Manufactured PCB
11,1,Soldering Iron Station,Required for assembly (Target temperature: 320°C - 350°C)


